"fullName","parkCode","Entrance_Fee_Per_Vehicle","Entrance_Fee_Per_Person","Entrance_Fee_Per_Motorcycle","Timed_Entry_Required","Cost_Description"
"Indiana Dunes National Park","indu",25,15,20,FALSE,"Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | 7-Day Park Entrance Fee - Family-Size Vehicle

Per private family-sized vehicle (valid for 1-7 days from date of purchase). | 7-Day Per Person Entrance Fee (Organized, non-commercial groups)

Visitors 16 years of age or older who enter on foot, bicycle, boat, or as part of an organized group not involved in a commercial tour. | Entry for commercial sedans with 6 or less people. 

Cost is $25.00 plus $15 per person (not to exceed next highest rate). | Commercial Tour Fee - Van (7-15 persons) - $40.00

Entry for commercial vans with 7-15 people. | Commercial Tour Fee - Mini Bus (16-25 persons) - $40.00

Entry for commercial mini bus with 16-25 people. | Commercial Tour Fee - Motor Coach (26+ persons) - $100.00
Entry for commercial motor coaches with 26+ persons."
"Isle Royale National Park","isro",NA,7,NA,FALSE,"$7 per person per day to enter or remain in Isle Royale National Park. Children 15 and younger are exempt.

Visiting Park Headquarters in Houghton, MI does not require a fee."
"Joshua Tree National Park","jotr",30,15,25,FALSE,"7-day vehicle permit, admitting the passengers of a single, non-commercial vehicle on the day of purchase and for the next six days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | 7-day entrance fee, per person on foot or bike."
"Katmai National Park & Preserve","katm",NA,NA,NA,FALSE,""
"Kenai Fjords National Park","kefj",NA,NA,NA,FALSE,""
"Kobuk Valley National Park","kova",NA,NA,NA,FALSE,""
"Lake Clark National Park & Preserve","lacl",NA,NA,NA,FALSE,""
"Lassen Volcanic National Park","lavo",30,15,25,FALSE,"Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Discounted entry fee during winter. Admits one private, non-commercial vehicle. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Park entrance fees are waived for eligible academic groups with approved fee waiver application. Applications must be submitted at least two weeks prior to park visit. | Valid for up to 7 consecutive days for a vehicle carrying the same group of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees are based upon the total seating capacity of vehicles regardless of the actual number of passengers. Annual or lifetime passes are not accepted. | Discounted entry fee for winter. Admits one private, non-commercial motorcycle and its riders. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov. | Discounted entry fee for winter. Per-person entrance fee used to admit one person on foot or bicycle. Also used for individuals traveling together in a vehicle as a non-commercial, organized group. Valid for up to 7 consecutive days from day of purchase at Lassen Volcanic National Park. When entrance station is not staffed, digital passes may be purchased online at recreation.gov."
"Mammoth Cave National Park","maca",NA,NA,NA,FALSE,""
"Mesa Verde National Park","meve",30,15,25,FALSE,"Valid for 7 days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Purchase digital park entrance passes on recreation.gov at no additional cost. Once purchased, passes for Mesa Verde National Park must be printed or saved on your mobile device prior to use. Connectivity is limited in the park, therefore printing the permit or saving it on your phone is highly recommended.

Passes, including the America the Beautiful, National Parks & Federal Recreational Lands Passes, such as the Annual, Access, or Senior pass may be purchased at the entrance station upon arrival."
"Mount Rainier National Park","mora",30,15,25,FALSE,"Grants unlimited entry for one vehicle and passengers for seven consecutive days. Vehicle must be private, noncommercial, and with a seating capacity of 15 or less. | Walk-up or single bicycle fee. Grants unlimited entry for seven consecutive days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. For sedan with 1 to 6 seats, the fee is $30 + $15 per client. | These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. | These fees are charged only to commercial organizations, such as tour companies. This fee is determined by the seating capacity of the vehicle. NOTE: There are no current road restrictions for unmodified motor coaches of the standard length in the park. However, be aware that roads in the park are steep, narrow, and winding. In particular, it is recommended that RVs and vehicles with trailers longer than 25 feet LOA not travel up the Sunrise Road beyond the White River Campground intersection."
"National Park of American Samoa","npsa",NA,NA,NA,FALSE,""
"New River Gorge National Park & Preserve","neri",NA,NA,NA,FALSE,""
"North Cascades National Park","noca",NA,NA,NA,FALSE,""
"Olympic National Park","olym",30,15,25,FALSE,"Valid for seven consecutive days. Applies to private, non-commercial vehicles (15 passenger capacity or less). The pass covers all vehicle occupants. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Valid for seven consecutive days. This fee admits one person without a vehicle, including hikers, bicyclists, and pedestrians. Individuals fifteen years or younger are admitted free of charge. | A commercial tour is defined as persons traveling on an itinerary that has been packaged, priced or sold for leisure recreational purposes by an organization that realizes financial gain through the provisions of the service."
"Petrified Forest National Park","pefo",25,15,20,FALSE,"Admits one private, non-commercial vehicle (15-passenger capacity or less) and all occupants. Valid for 7 days. | Admits one individual with no motor vehicle (bicyclist, hiker, pedestrian). Youth 15 and under are admitted free of charge. Valid for 7 days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | $25 flat fee + $10 per person (Sedans, SUVs, Minivans)

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 7 to 15 passengers - $50 (Vans).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 16-25 passengers - $60

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 26+ passengers - $150 (Large tour buses, motorcoaches).

If you are conducting an income generating tour of the park, you are subject to commercial tour fees. Fees for commercial vehicles are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days. | Capacity of 16 or more $15/person.  Anyone that is 15 or younger is exempt from paying an entrance fee, in addition to anyone with a valid pass. A pass may cover immediate family members or up to 4 people traveling with the group.

A non-commercial organized group is a group traveling together, such as scouts, a club, a church, or other group that has organized its own itinerary. Fees are based on the capacity of the vehicle, not the number of passengers on board, and are valid for 7 days."
"Pinnacles National Park","pinn",30,15,25,FALSE,"This pass is valid for 1-7 days and includes everyone traveling in a single, private (non-commercial) vehicle up to 15 passengers to Pinnacles East Entrance and West Entrance. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles, scooters, or similar motorized vehicles with up to 4 total passengers to Pinnacles East Entrance and West Entrance. | This entry fee is for a single person traveling on foot or by bicycle.  It is valid for 1-7 days to Pinnacles East Entrance and West Entrance. | Non-commercial groups traveling in vehicles that have a capacity of 16 passengers or more pay $15 per person up to the maximums listed for commercial groups with comparable passenger capacity ($40 or $100). People 15 years old or younger, anyone with a pass that may be used for park entry, and drivers hired for transportation only are exempt from the per person fee. | The charge for vehicles with a seating capacity of 1-6 passengers is $30. This entrance fee is for commercial tours of one or more people traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Passenger ages or entrance passes do not affect the price. | This entrance fee is for commercial tours of vehicles with a seating capacity of 7-15 people that has been packaged, priced, or sold for leisure or recreational puposes by an organization that realizes financial gain through the provision of the service. This fee is based on the seating capacity of the vehicle and not the actual number of passengers. Passengers ages or entrance passes do not affect the price. | This entrance fee is for commercial trous of vehicles with a seating capacity of 16-25 people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the sevice. This fee is based on the seating capacity of the vehicle and not the actual number of passengers. Passengers ages or entrance passes do not affect the price. | This entrance fee is for commercial tours of vehicles with a seating capacity of 26 or more people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. This fee is based on the seating capacity of the vehicle and not the actual number of passengers. Passenger ages or entrance passes do not affect the price. | School groups and other academic institutions may qualify for an Educational Fee Waiver. If not qualified, please check fees for large or commercial groups."
"Redwood National and State Parks","redw",NA,NA,NA,FALSE,""
"Rocky Mountain National Park","romo",35,20,30,TRUE,"1-Day Vehicle Entrance Pass. This pass is valid for one private vehicle to enter RMNP for one day only. All passengers inside the vehicle are covered. Park entrance passes may be purchased in person at any of the park's entrance stations or in advance online at www.recreation.gov. | 7-Day Vehicle Entrance Pass. This vehicle entrance pass is valid for one vehicle to enter RMNP for 7 consecutive days. All passengers inside the vehicle are covered. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov. | 1-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 1-day only. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov. | Valid for 1 day. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov. | 7-Day Per Person Entrance Pass. This park entrance fee is for individuals, walk-ins, bicycles, and non-commercial groups to enter RMNP for 7 consecutive days. Park entrance passes may be purchased in person at the any of the park's entrance stations or in advance online at www.recreation.gov. | Each non-US resident aged 16 and older visiting Rocky Mountain National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Roosevelt Campobello International Park","roca",NA,NA,NA,FALSE,""
"Saguaro National Park","sagu",25,15,20,FALSE,"The vehicle entrance pass is sold in the form of a dated register receipt and admits one privately owned, non-commercial vehicle into Saguaro National Park. This includes passenger cars, trucks, vans, recreational vehicles, campers, or converted buses used for private, recreational purposes. | Individuals entering the park by means other than a motor vehicle may purchase individual entrance passes. This includes hikers, horseback riders and bicyclists. The individual entrance fee is charged to anyone 16 years of age or older. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers."
"Sequoia & Kings Canyon National Parks","seki",35,20,30,FALSE,"This pass is valid for 1-7 days and includes everyone traveling in a single vehicle for Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia National Monument. | This entry fee is for a single person traveling on foot or by bicycle. It is valid for 1-7 days in Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia National Monument. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles, scooters, or similar motorized vehicles with up to 4 total passengers to Sequoia & Kings Canyon National Parks and Hume Lake District of Sequoia National Forest/Giant Sequoia National Monument. | Non-commercial groups traveling in vehicles that have a capacity of up to 15 passengers pay a $35 vehicle entrance fee or use a park pass. Groups traveling in a bus or vehicle with a capacity of 16 persons or more are charged $20 per person, up to the maximums listed for commercial groups with comparable passenger capacity ($100 or $200). People 15 years old or younger, anyone with a pass that may be used for park entry, and drivers hired for transportation only are exempt from the per person fee. | This entrance fee is for commercial tours of vehicles with a seating capacity of 7-15 people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. This fee is based on the seating capacity of the vehicle and not the actual number of passengers. Passenger ages or entrance passes do not affect the price. | This entrance fee is for commercial tours of vehicles with a seating capacity of 16-25 people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. This fee is based on the seating capacity of the vehicle and not the actual number of passengers. Passenger ages or entrance passes do not affect the price. | This entrance fee is for commercial tours of vehicles with a seating capacity of 26 or more people that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. This fee is based on the seating capacity of the vehicle and not the actual number of passengers. Passenger ages or entrance passes do not affect the price. | The charge for vehicles with a seating capacity of 1-6 passengers is $25, plus $20 per passenger, with a maximum total fee of $75. This entrance fee is for commercial tours of one or more people traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Passenger ages or entrance passes do not affect the price. | The per person fee for vehicles with a seating capacity of 1-6 passengers is $20, plus $25 per vehicle, with a maximum total fee of $75. This entrance fee is for commercial tours of one or more people traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Passenger ages or entrance passes do not affect the price. | Each non-US resident aged 16 and older visiting Sequoia & Kings Canyon National Parks must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Shenandoah National Park","shen",30,15,25,FALSE,"Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase. Admits the pass holder and occupants of a single, private non-commercial vehicle. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Entry for walk-up or bicycling visitors, when 16 years of age or older (children under 16 are admitted for free). Includes entering the Park by all means other than a private, non-commercial vehicle. A family traveling together shall pay no more than the vehicle fee. | The total cost is calculated: $25 + $10 per passenger. | This fee is for commercial use between 1-6 passengers (sedan). The total cost is calculated: $25 for the vehicle + $10 per passenger. | Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers. | Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. | Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. | National Park Service regulations allow school groups and other approved national and international academic institutions to obtain a waiver of Park entrance fees, provided that visit is for educational or scientific purposes, and the resources or facilities that the group intends to use, support those purposes. Request an academic fee waiver through the education section of our website. | Fee is calculated per person for anyone 16 years of age or older (children under 16 are admitted for free). Groups will not be charged more than the equivalent commercial group fee."
"Theodore Roosevelt National Park","thro",30,15,25,FALSE,"Valid for 7 days for all persons traveling in a single, private, non-commercial vehicle. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Valid for 7 days for a visitor traveling on foot, bicycle, horse, or other non-motorized means of travel. | Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group."
"Virgin Islands National Park","viis",NA,NA,NA,FALSE,""
"Voyageurs National Park","voya",NA,NA,NA,FALSE,""
"White Sands National Park","whsa",25,15,20,FALSE,"Per vehicle fee is charged to visitors for entry by a single, private non-commercial vehicle. Entrance fees are valid for reentry for seven consecutive days from the date of purchase. | Per person fee is charged to visitors for entry by means other than a single, private non-commercial vehicle. This includes, but is not limited to, individuals who enter the park by walking and bicycling. Entrance fees are valid for reentry for seven consecutive days from the date of purchase. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Commercial bus/van tours are charged a flat rate based on the capacity of the vehicle (not the number of persons on board)."
"Wind Cave National Park","wica",NA,NA,NA,FALSE,""
"Wrangell - St Elias National Park & Preserve","wrst",NA,NA,NA,FALSE,""
"Yellowstone National Park","yell",35,20,30,FALSE,"Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase. Vehicles must be private, non-commercial, and with a seating capacity of 15 or less. | Non-commercial group (e.g. church groups, scouts) traveling in a vehicle with a capacity of 16 or more people. Cost is per person. Unlimited entry for one vehicle and all passengers for seven consecutive days, beginning on the day of purchase. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Valid for 7 days. Admits up to 2 snowmobiles with up to 4 total passengers. | Entry for visitors on foot, bicycle, ski, etc., when 16 years of age or older. | A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The cost is $25 + $20 per person. Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 7-15 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 16-25 passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group. | Based upon the total capacity of a vehicle that can carry 26 or more passengers, regardless of the actual number of passengers. A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Pass is good for seven days as long as it's the same passenger group. | Each non-US resident aged 16 and older visiting Yellowstone National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
"Yosemite National Park","yose",35,20,30,FALSE,"This fee is valid for seven consecutive days for a non-commercial car, pickup truck, RV, or van with 15 or fewer passenger seats. This fee covers the vehicle and everyone inside of it. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | This fee is valid for seven consecutive days for people entering on foot, a bicycle, a horse, or a non-commercial bus or van. People 15 years and younger are free. | The per-person fee is $20 to a maximum of $300 per vehicle. People 15 years and younger are free. | An educational fee waiver is available for educational and scientific groups that are accredited or tax-exempt for educational purposes planning a trip for educational or scientific purposes related to Yosemite that is not primarily recreational. | The fee is $20 per person for any resident 16 years or older. For any nonresident the fee is $100 per person for anyone 16 years or older. This fee is valid for seven consecutive days. | Each non-US resident aged 16 and older visiting Yosemite National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group. | This fee is valid for seven consecutive days. For any nonresident there is an additional fee of $100 per person for anyone 16 years or older. A commercial use authorization is required."
"Zion National Park","zion",35,20,30,FALSE,"Admits private, non-commercial vehicle (15 passenger capacity or less) and all occupants to Zion National Park. Valid for 1-7 days. | Valid for 7 days. Admits up to 2 private, non-commercial motorcycles with up to 4 total passengers. | Admits one individual with no car to Zion National Park. Typically used for bicyclists, hikers and pedestrians. Youth 15 and under are admitted free. Valid for 1-7 days. | $20 per person. Non-commercial vehicles with a capacity of 16 or greater. Fees will not exceed the commercial fee for the same-sized vehicle. Youth 15 and under are free. Individuals or families with any valid Annual or Lifetime pass may use their pass for entry at the per person rate. Pass and photo ID must be present upon entry. | A commercial tour is defined as consisting of one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. The entry fees of commercial tours are based upon the total capacity of vehicles that can carry seven or more passengers regardless of the actual number of passengers. | A commercial tour is defined as one or more persons traveling on an itinerary that has been packaged, priced, or sold for leisure or recreational purposes by an organization that realizes financial gain through the provision of the service. Vehicles with commercial tours of 1-6 people (not including guide) pay $35 per vehicle + $20 per person with a total fee not to exceed $70.

Passengers can use valid weekly, annual, lifetime, or appreciation passes. | Each non-US resident aged 16 and older visiting Zion National Park must pay a $100 nonresident fee (in addition to the standard entrance fee), unless admitted with an Annual or America the Beautiful Pass. This includes nonresidents entering as part of a commercial tour group, commercial use authorization (CUA) group, or concessioner tour group."
